TimeMs;Alt;Bat;Pitch;Roll;Yaw;vX;vY
0;;;;;;;
20;;;;;;;
41;;;;;;;
61;;;;;;;
81;;;;;;;
101;;;;;;;
121;;;;;;;
141;;;;;;;
161;;;;;;;
181;;;;;;;
201;;;;;;;
221;;;;;;;
241;;;;;;;
261;;;;;;;
281;;;;;;;
